viewer_id,login_date,device_type,session_score,login_channel
1,2023-09-07,Web,38.0,Email
1,2024-11-09,Gaming Console,49.2,Facebook
1,2024-07-29,Tablet,59.0,Apple
1,2025-06-10,Tablet,88.1,Facebook
1,2024-03-15,Tablet,27.0,Email
1,2024-04-13,Web,84.5,Facebook
1,2023-11-12,Gaming Console,24.5,Mobile OTP
1,2023-09-24,Tablet,87.4,Email
1,2025-03-07,Mobile,24.1,Apple
1,2024-05-24,Gaming Console,21.5,Mobile OTP
1,2024-10-23,Mobile,75.8,Mobile OTP
1,2024-10-08,Smart TV,99.8,Email
1,2024-09-05,Tablet,91.7,Mobile OTP
1,2023-07-12,Tablet,66.1,Apple
1,2025-01-22,Tablet,93.4,Google
1,2023-12-22,Mobile,20.4,Facebook
1,2023-09-27,Gaming Console,98.0,Email
2,2024-08-12,Smart TV,77.8,Mobile OTP
2,2023-08-16,Smart TV,85.7,Facebook
2,2025-01-06,Tablet,77.5,Google
2,2023-11-25,Mobile,62.8,Mobile OTP
2,2023-12-01,Mobile,58.1,Google
2,2025-03-23,Tablet,87.1,Email
2,2024-02-22,Web,36.4,Facebook
2,2023-10-12,Tablet,97.4,Google
2,2025-04-15,Web,76.9,Facebook
2,2023-06-29,Tablet,36.0,Email
2,2025-03-15,Tablet,78.9,Facebook
2,2023-10-10,Smart TV,62.4,Facebook
2,2023-09-30,Smart TV,76.6,Apple
2,2023-12-27,Web,81.4,Apple
2,2023-11-01,Smart TV,27.0,Mobile OTP
2,2024-10-22,Smart TV,60.5,Google
2,2023-07-15,Tablet,94.6,Apple
2,2023-07-07,Web,45.7,Google
2,2025-01-24,Smart TV,67.5,Email
3,2023-12-17,Smart TV,46.9,Email
3,2024-02-18,Web,30.8,Email
3,2023-11-01,Tablet,25.1,Apple
3,2023-08-04,Mobile,99.2,Facebook
3,2024-12-20,Tablet,45.8,Facebook
3,2024-07-15,Mobile,84.8,Apple
3,2024-12-23,Mobile,40.4,Google
3,2024-06-09,Gaming Console,74.5,Mobile OTP
3,2025-01-15,Gaming Console,80.8,Apple
3,2024-07-06,Tablet,67.7,Facebook
3,2023-09-14,Mobile,57.7,Apple
3,2024-06-29,Tablet,52.9,Email
3,2025-05-18,Tablet,47.9,Email
3,2023-07-28,Smart TV,94.4,Mobile OTP
3,2025-01-19,Web,86.4,Facebook
3,2025-03-21,Mobile,97.2,Google
3,2024-07-12,Tablet,29.9,Email
4,2024-05-26,Gaming Console,99.3,Email
4,2025-05-31,Tablet,36.4,Email
4,2023-08-10,Tablet,50.3,Email
4,2024-06-11,Mobile,94.1,Mobile OTP
4,2024-04-15,Tablet,77.7,Google
4,2024-11-09,Mobile,23.8,Mobile OTP
4,2024-06-19,Gaming Console,82.5,Email
4,2025-04-21,Gaming Console,86.2,Email
4,2023-08-19,Web,80.0,Google
4,2023-08-25,Tablet,84.0,Email
4,2024-09-13,Smart TV,86.0,Facebook
4,2023-08-14,Smart TV,34.9,Facebook
4,2024-01-14,Tablet,38.9,Email
4,2024-10-01,Mobile,70.7,Facebook
4,2024-07-31,Web,92.6,Apple
4,2024-02-19,Mobile,45.3,Facebook
4,2025-06-23,Web,67.1,Apple
4,2024-07-18,Smart TV,74.6,Google
4,2024-05-23,Web,56.2,Mobile OTP
5,2024-09-11,Smart TV,50.2,Facebook
5,2023-09-07,Web,57.0,Apple
5,2024-11-21,Smart TV,44.1,Email
5,2025-03-11,Web,79.8,Mobile OTP
5,2024-10-14,Mobile,60.2,Apple
5,2025-01-09,Mobile,38.6,Facebook
5,2024-12-04,Web,92.0,Facebook
5,2023-12-01,Gaming Console,50.7,Email
5,2024-05-22,Mobile,63.5,Email
5,2023-12-11,Tablet,92.5,Email
5,2024-02-29,Web,69.9,Google
5,2024-05-23,Tablet,29.4,Google
5,2024-04-26,Mobile,95.2,Apple
5,2023-09-04,Tablet,70.2,Facebook
5,2024-05-03,Web,46.8,Google
5,2024-10-25,Tablet,31.1,Google
5,2024-03-26,Web,83.5,Facebook
5,2023-10-16,Smart TV,69.6,Mobile OTP
5,2025-05-01,Web,62.7,Email
6,2023-08-15,Gaming Console,65.9,Mobile OTP
6,2025-02-24,Web,99.8,Google
6,2023-09-03,Mobile,80.2,Mobile OTP
6,2023-09-05,Smart TV,76.6,Facebook
6,2024-12-18,Gaming Console,82.3,Email
6,2025-02-09,Gaming Console,31.5,Apple
6,2024-08-06,Smart TV,36.4,Mobile OTP
6,2024-08-28,Web,77.1,Mobile OTP
6,2024-08-10,Smart TV,59.5,Apple
6,2024-02-22,Smart TV,80.4,Google
6,2023-09-24,Web,28.2,Mobile OTP
6,2024-03-11,Smart TV,62.9,Google
6,2024-10-25,Mobile,50.3,Facebook
6,2024-12-26,Mobile,56.6,Mobile OTP
6,2025-03-22,Tablet,68.3,Email
6,2024-12-05,Gaming Console,60.2,Mobile OTP
6,2025-06-03,Gaming Console,63.2,Apple
6,2024-09-07,Tablet,58.9,Google
7,2024-03-10,Tablet,77.8,Facebook
7,2024-08-22,Tablet,77.6,Email
7,2023-11-29,Smart TV,71.3,Email
7,2024-10-19,Mobile,75.5,Mobile OTP
7,2023-12-07,Tablet,63.4,Apple
7,2023-09-14,Web,40.1,Google
7,2025-03-05,Web,47.7,Facebook
