session_id,viewer_id,session_start,session_end,session_duration,is_successful
1,1,2023-08-06 14:05:16,2023-08-06 14:45:16,40,True
2,1,2024-11-22 11:01:35,2024-11-22 11:55:35,54,True
3,1,2023-10-29 00:18:16,2023-10-29 00:57:16,39,True
4,1,2023-07-15 12:48:15,2023-07-15 13:56:15,68,True
5,1,2024-12-02 23:17:51,2024-12-02 23:53:51,36,True
6,1,2024-03-25 02:58:37,2024-03-25 03:34:37,36,True
7,1,2023-12-15 22:41:00,2023-12-15 23:21:00,40,True
8,1,2025-02-14 08:58:03,2025-02-14 09:38:03,40,True
9,1,2025-05-09 01:59:25,2025-05-09 02:39:25,40,True
10,1,2024-11-19 11:46:04,2024-11-19 12:02:04,16,True
11,1,2023-08-27 21:33:35,2023-08-27 22:20:35,47,True
12,1,2023-11-04 12:58:23,2023-11-04 14:10:23,72,True
13,1,2023-06-28 15:04:21,2023-06-28 15:25:21,21,True
14,1,2023-08-27 13:24:38,2023-08-27 13:58:38,34,True
15,1,2023-10-04 22:31:10,2023-10-04 22:45:10,14,True
16,2,2024-05-12 21:52:42,2024-05-12 22:29:42,37,True
17,2,2024-02-12 08:08:19,2024-02-12 08:40:19,32,True
18,2,2025-01-28 01:42:33,2025-01-28 02:10:33,28,True
19,2,2024-08-14 12:35:38,2024-08-14 13:05:38,30,True
20,2,2025-03-26 01:48:40,2025-03-26 02:39:40,51,True
21,2,2023-08-10 15:10:15,2023-08-10 15:35:15,25,True
22,2,2023-10-21 12:03:20,2023-10-21 12:40:20,37,True
23,2,2024-04-28 06:15:19,2024-04-28 07:11:19,56,True
24,2,2025-02-10 15:15:56,2025-02-10 16:00:56,45,True
25,2,2025-04-29 10:40:03,2025-04-29 11:23:03,43,True
26,2,2023-08-24 19:36:47,2023-08-24 19:57:47,21,True
27,2,2023-09-17 05:33:59,2023-09-17 06:02:59,29,True
28,2,2023-12-01 21:55:10,2023-12-01 22:01:10,6,True
29,3,2024-12-04 17:09:14,2024-12-04 17:53:14,44,True
30,3,2023-11-08 21:34:17,2023-11-08 22:18:17,44,True
31,3,2025-03-30 21:15:12,2025-03-30 21:44:12,29,True
32,3,2025-06-03 05:51:41,2025-06-03 06:46:41,55,True
33,3,2024-10-18 09:08:54,2024-10-18 10:13:54,65,True
34,3,2024-11-10 13:11:59,2024-11-10 14:14:59,63,True
35,3,2024-01-03 19:22:45,2024-01-03 20:03:45,41,True
36,3,2024-10-03 01:41:25,2024-10-03 01:46:25,5,True
37,3,2024-09-21 07:45:38,2024-09-21 08:32:38,47,True
38,3,2023-07-21 12:31:15,2023-07-21 13:16:15,45,True
39,4,2024-01-20 12:40:25,2024-01-20 13:14:25,34,True
40,4,2025-05-26 09:23:02,2025-05-26 09:28:02,5,True
41,4,2024-06-21 18:39:59,2024-06-21 19:08:59,29,True
42,4,2025-01-06 23:01:33,2025-01-06 23:11:33,10,True
43,4,2024-11-23 13:06:03,2024-11-23 13:31:03,25,True
44,4,2025-03-06 01:28:48,2025-03-06 01:40:48,12,True
45,4,2024-05-31 20:57:54,2024-05-31 21:13:54,16,True
46,4,2024-08-03 11:03:55,2024-08-03 11:31:55,28,True
47,4,2025-05-08 01:08:40,2025-05-08 01:24:40,16,False
48,4,2024-11-26 13:11:58,2024-11-26 13:20:58,9,True
49,4,2024-09-01 01:17:44,2024-09-01 02:04:44,47,True
50,4,2024-03-21 14:58:25,2024-03-21 15:07:25,9,True
51,4,2023-07-18 15:26:29,2023-07-18 15:31:29,5,True
52,4,2023-12-13 14:26:18,2023-12-13 15:00:18,34,True
53,4,2024-12-27 17:46:48,2024-12-27 18:07:48,21,True
54,4,2023-08-15 04:35:58,2023-08-15 05:00:58,25,True
55,4,2023-07-05 06:07:52,2023-07-05 06:35:52,28,True
56,4,2024-04-09 23:47:09,2024-04-10 00:32:09,45,False
57,5,2025-05-27 12:13:28,2025-05-27 12:58:28,45,True
58,5,2024-09-24 12:59:44,2024-09-24 13:48:44,49,True
59,5,2025-06-05 14:21:12,2025-06-05 14:34:12,13,True
60,5,2025-01-12 17:06:39,2025-01-12 17:33:39,27,True
61,5,2023-07-07 01:38:44,2023-07-07 02:14:44,36,True
62,5,2024-11-13 04:56:25,2024-11-13 05:44:25,48,True
63,5,2024-08-24 02:02:41,2024-08-24 02:38:41,36,True
64,5,2023-06-30 08:20:41,2023-06-30 08:50:41,30,True
65,5,2024-03-08 12:19:25,2024-03-08 12:54:25,35,True
66,5,2025-05-13 02:46:01,2025-05-13 03:22:01,36,True
67,5,2025-03-30 17:22:50,2025-03-30 17:34:50,12,True
